,Tweet Timestamp,Tweet Text,Tweet Length,Tweet ID
0,2022-04-18 18:07:48+00:00,"How are HR leaders taking action with data-driven insights?

Tableau empowers teams to visualize data on hiring, at… https://t.co/sUHgSrGf7o",140,1516116301223129088
1,2022-04-18 16:00:46+00:00,"The complete Tableau Conference session catalog is now LIVE. 

Explore #Data22 keynotes, breakouts, and hands-on-tr… https://t.co/4GPk2VOlTQ",140,1516084331365773314
2,2022-04-17 16:00:15+00:00,That feeling when Tableau Conference is only one month away. #Data22 https://t.co/iQOavZx8YV,92,1515721813648674822
3,2022-04-16 16:40:32+00:00,"On the blog, Tableau technical evangelist @acotgreave looks at chart examples across social media and shares his be… https://t.co/2sAtEZ86ma",140,1515369561859579904
4,2022-04-15 21:24:29+00:00,@AdedamolaLadipo Facts!,23,1515078634545074177
5,2022-04-15 20:53:13+00:00,ICYMI: Tableau 2022.1 is now available. Discover how the latest capabilities can boost your analytics efficiency an… https://t.co/mc49S3JwyR,140,1515070762503192579
6,2022-04-15 19:31:41+00:00,@aabattani Who else is taking notes? 📝,38,1515050244781748225
7,2022-04-15 19:30:25+00:00,@KimTricker @tableaupublic Looks great!,39,1515049927516176384
8,2022-04-15 19:03:08+00:00,Data and technology is a key enabler to help end homelessness. Read the latest from Tableau Foundation partner… https://t.co/Aoyngwx6A3,135,1515043059402088451
9,2022-04-15 17:04:46+00:00,"A peek at the latest Tableau Community content this week:
- Intro to Tableau Actions tutorial video
- Job listings… https://t.co/8GENnf4x94",139,1515013272327532546
10,2022-04-14 19:01:37+00:00,"Tableau Conference speaker sneak peek: @Indeed developer Cassie Lebauer on accessible dashboard design. 

Look out… https://t.co/cJfeOAiwwG",139,1514680292325277702
11,2022-04-14 19:01:13+00:00,@LawrenceEDurbin See you there!,31,1514680191133499430
12,2022-04-14 18:58:48+00:00,@chisomezeilo01 Awesome! See you there.,39,1514679581282041856
13,2022-04-14 18:42:25+00:00,@jaxx084 Loving all the tips and tricks in this thread!,55,1514675461242073088
14,2022-04-14 18:42:06+00:00,@LisaTrescott So many good ones!,32,1514675381235695620
15,2022-04-14 17:04:09+00:00,"Agenda Builder for TrailblazerDX is now available. 

Build the perfect plan for #TDX22—including sessions featuring… https://t.co/GK8eT3XduA",140,1514650728798691370
16,2022-04-14 14:00:14+00:00,"Who will be the #IronViz 2022 champion? 

Join us at Tableau Conference for the world's largest data visualization… https://t.co/4bLJHx4tOP",139,1514604445417426952
17,2022-04-13 23:37:46+00:00,@Matt_Francis @FryRsquared It's definitely going to be good!,60,1514387399639371783
18,2022-04-13 23:32:03+00:00,@VizGenie @MerlijnBuit Exactly.,31,1514385960959504394
19,2022-04-13 23:18:27+00:00,Harnessing #data effectively creates opportunities for your business to solve problems and thrive. Check out these… https://t.co/ZAw50V9M58,139,1514382538151669763
20,2022-04-13 22:45:31+00:00,@jameszirbes Epic.,18,1514374248738930690
21,2022-04-13 19:17:41+00:00,@SocialPsychA Glad you found this blog by @HighVizAbility useful!,65,1514321945453547525
22,2022-04-13 19:16:45+00:00,@EngawaShosei Congratulations! #CertifiablyTableau,50,1514321711298080768
23,2022-04-13 19:14:58+00:00,@MerlijnBuit Brb blocking off our calendars to play this game *ahem*... to attend very important meetings,105,1514321262872473600
24,2022-04-13 19:13:48+00:00,"@michaelangeles Congrats, Michael! #CertifiablyTableau",54,1514320968931446788
25,2022-04-13 19:13:06+00:00,@larissajane Us too!,20,1514320792359780363
26,2022-04-13 19:12:06+00:00,@Hiren_Sanchala @TableauSupport Hi Hiren! Thanks for your feedback. Please add your idea to https://t.co/hkxdqRp1lU.,116,1514320540273557506
27,2022-04-13 17:02:37+00:00,"From data prep to dashboard consumption, Tableau 2022.1 makes data analysis easier at every stage. Learn about the… https://t.co/ybH9Agqa60",139,1514287957921968131
28,2022-04-13 16:21:11+00:00,"Data is rad. So are the keynote speakers at Tableau Conference. Case in point: Professor Hannah Fry—mathematician,… https://t.co/repe305CPw",139,1514277527266594818
29,2022-04-12 22:59:01+00:00,@cristhinkslinks Hi Chris! Sorry to hear you've been having difficulty purchasing Tableau. If you send an email to… https://t.co/aS08Yrcha8,139,1514015258658045952
30,2022-04-12 20:27:07+00:00,@AdriMichelson Check out our Tableau Visionaries Twitter list: https://t.co/nuuZq1NMEK!,87,1513977031381319680
31,2022-04-12 17:38:06+00:00,@SalesforceDevs Looks like a data good time! We can't wait.,59,1513934498441752578
32,2022-04-12 16:57:41+00:00,"RT @salesforce: In the digital economy, data takes the wheel.

With @Tableau, you get analytics built for everyone, accessible from anywher…",140,1513924326176690177
33,2022-04-11 23:56:48+00:00,"Why do so many #AI projects fail? It starts with project selection, but you have to manage change, too. Learn more… https://t.co/2Tx5Oi8TA7",139,1513667414910668805
34,2022-04-11 22:51:48+00:00,@EpleySamuel Your dedication to growth is unmatched! 🔥 Congrats on all of your hard work.,89,1513651054818193408
35,2022-04-11 22:49:58+00:00,"@Matt_Francis #DataFam, get your votes in for the annual Vizzies Awards! ⭐️",75,1513650595550269444
36,2022-04-11 22:43:07+00:00,"@DaciaLarin @EdTech_HigherEd The feeling is mutual, Dacia! 🤗",60,1513648868415574019
37,2022-04-11 22:41:34+00:00,"@franklinleonard Hey #DataFam, any suggestions for Franklin? Our Free Training Videos are a good place to start: https://t.co/4lk1wCjUXY.",137,1513648480140804098
38,2022-04-11 22:34:51+00:00,@VizGenie Fantastic lineup of speakers 🤩,40,1513646788598710278
39,2022-04-11 22:32:50+00:00,"@VizWizBI Wow⁠, what an impressive milestone! Thanks for everything you've done for Tableau and the community. 🤗",112,1513646281285021698
40,2022-04-11 22:31:03+00:00,@AdamMico1 🙌,12,1513645831794085893
41,2022-04-11 22:30:13+00:00,"@thompsonkevsr Congrats on your achievement, Kevin! 👏 #CertifiablyTableau",73,1513645625623023619
42,2022-04-11 22:28:48+00:00,@murielvega Hi Muriel. Apologies for the trouble with your license. Please feel free to reach out to social@tableau… https://t.co/MgUNtvOoPr,140,1513645265927901187
43,2022-04-11 22:25:37+00:00,@AdamMico1 We can't wait to hear from you!,42,1513644467726733317
44,2022-04-11 22:25:16+00:00,"@RinconAnnabelle So glad you're able to join us, Annabelle!",59,1513644377591140356
45,2022-04-11 22:24:01+00:00,"@Atefeh_Hez Congrats on becoming #CertifiablyTableau, Atefeh!",61,1513644063890702336
46,2022-04-11 17:02:53+00:00,"Your #DataFam story starts here. 

Join us for live conversations with #TableauVisionaries on how to chart your own… https://t.co/o4C7fGQx3a",140,1513563245860163589
47,2022-04-10 17:40:43+00:00,"Inspire a young data explorer 🚀 in your life!

Teach young students data skills by playing tic-tac-toe and listenin… https://t.co/qcyaWQENtG",140,1513210380633272321
48,2022-04-10 15:22:39+00:00,Accelerate your learning journey by attending a user group meetup and connecting with other Tableau users.… https://t.co/Xg0NinUuid,131,1513175636323422209
49,2022-04-08 17:04:05+00:00,"What's new with the Tableau Community? 

Get the latest #DataFam content, events, and visualizations from this week… https://t.co/2G4XV75FcC",140,1512476384404258821
50,2022-04-07 23:46:06+00:00,"On #WorldHealthDay, Tableau connected with healthcare leaders about the trends in data they see impacting the healt… https://t.co/mRFK1LX2gA",140,1512215170843439108
51,2022-04-07 22:09:40+00:00,"RT @salesforce: Chat with the champs at #TDX22.

Sit down for a convo about the path to the podium and the powerful data that helps @TeamUS…",140,1512190899572289539
52,2022-04-07 02:52:47+00:00,"Party like a data rockstar at Tableau Conference. #Data22

Register now for a chance to win VIP treatment at TC:… https://t.co/1oIplZwzGE",137,1511899761682489357
53,2022-04-06 21:00:04+00:00,"When you show them your dashboard:

*Don’t say it, don’t say it…*
Them: “Can we download it to a spreadsheet?” 👁️👄👁️",116,1511810996402376710
54,2022-04-06 18:21:39+00:00,"What’s new for IT and administrators in Tableau 2022.1? Enterprise Deployment Guidelines, Backgrounder resource lim… https://t.co/v4WKneYHzM",140,1511771129828028421
55,2022-04-06 17:22:36+00:00,@AileenChan928 See you there 😎,30,1511756270675525632
56,2022-04-06 02:01:05+00:00,"To better understand the impact of COVID-19 across their country, Bangkok Tableau User Group leaders volunteered th… https://t.co/Z03XzlTVz0",140,1511524361072689160
57,2022-04-05 19:39:17+00:00,"@FredrickNajjar @Marvel @tableaupublic @MarvelStudios Love this, Fred!",70,1511428280670326787
58,2022-04-05 19:38:43+00:00,@digitalduquette Future data rockstar! 👀,40,1511428136390471685
59,2022-04-05 19:35:09+00:00,"@AdamMico1 Thanks for the great ideas and feedback, everyone! Please be sure to add them to the Ideas Forum if you… https://t.co/mMlxkZxWls",139,1511427240357105664
60,2022-04-05 19:21:17+00:00,"@si_ev2101 @mrroweuk @SimonBeaumont04 @_CJMayes @katebrown_5 @tableaupublic @mo_wootten Nice work, Simon!",105,1511423750264131587
61,2022-04-05 19:20:17+00:00,@Ok_chukwu Congrats! #CertifiablyTableau,40,1511423499654426628
62,2022-04-05 19:17:14+00:00,@paulisDataViz Sounds fantastic!,32,1511422729353838596
63,2022-04-05 19:16:18+00:00,@stephchach Ours too 😎,22,1511422495567454210
64,2022-04-05 19:07:53+00:00,@_CJMayes @marcreid @infolabUK @TableauTim @VizWizBI @mapsOverlord @DataRevelations Great interview. Love it 🙌,110,1511420376542179329
65,2022-04-05 19:02:46+00:00,@RinconAnnabelle 🤗,18,1511419089255813124
66,2022-04-05 19:01:34+00:00,"@NicoleKlassen12 Thanks for your contributions to the community, Nicole!",72,1511418786473078786
67,2022-04-05 18:15:33+00:00,"The latest #BestofTableauWeb is here! Check out @acotgreave's curated list of Tableau tips, tricks, and inspiration. https://t.co/mp6pT76ohM",140,1511407207526633472
68,2022-04-04 23:53:00+00:00,"AI initiatives are on the rise, but many don't meet expectations—if they even reach deployment. Join Richard Tibbet… https://t.co/PLxpu56a0G",140,1511129741473898496
69,2022-04-03 15:25:39+00:00,"Check out the Tableau User Group Weekly for more on:
- The new user group for Emergency and Disaster Management use… https://t.co/5XudU40054",140,1510639675630923779
70,2022-04-02 00:22:45+00:00,"RT @tableaupublic: Connect with like-minded data rock stars through our Tableau User Groups. Check out this #VOTD, a collaboration between…",139,1510050062994345985
71,2022-04-01 17:02:36+00:00,"What will you learn this week from the Tableau Community?

Dig into the latest #DataFam Roundup to find out.… https://t.co/eHt9BA4QKd",133,1509939298602131457
72,2022-03-30 23:44:27+00:00,"Tableau 2022.1 has arrived—bringing you new features like Workbook Optimizer, Ask Data Phrase Builder, an improved… https://t.co/jVwsiHts6h",139,1509315649302110211
73,2022-03-30 19:00:08+00:00,"Joining us at #TDX22? Take advantage of TrailblazerDX Bootcamp to:
✔️ Learn data analyst skills from Tableau expert… https://t.co/BBNQAdvtiB",140,1509244100230488067
74,2022-03-30 18:55:03+00:00,@Chimikoneco Congratulations! #CertifiablyTableau,49,1509242821311533058
75,2022-03-30 18:49:54+00:00,@jshilanjanm @TableauSupport Hi there. Can you please send an email to social@tableau.com? A member of our team should be able to help out.,139,1509241524902531076
76,2022-03-30 18:49:01+00:00,"@JohannaJoso @VizFSG @TEWWYWisdom @tableaupublic Looks great, Johanna.",70,1509241300393947138
77,2022-03-30 18:47:25+00:00,@NewmsTweet @onepeloton Awesome. Congrats on 1K 💪,49,1509240898952916992
78,2022-03-30 18:45:37+00:00,"@RayDoesData Thanks for the feedback, Ray!",42,1509240444802240523
79,2022-03-30 16:31:16+00:00,"Today, @JLR_News has
- 1,300+ employees actively creating Tableau dashboards and analyses
- 5,000+ employees explor… https://t.co/sWe49n8Xxp",140,1509206634786086919
80,2022-03-29 19:26:32+00:00,@daniel_c_abbott Hi Dan! Thanks for reaching out. Can you please send an email to tableausupport@eventcore.com? A m… https://t.co/ZxzmGbdbwO,140,1508888354825273344
81,2022-03-29 17:32:26+00:00,@fortune_uwha @tableaupublic Keep up the great work!,52,1508859641563820033
82,2022-03-29 17:26:00+00:00,@SarahNRodriquez See you there 👀,32,1508858023187345411
83,2022-03-29 17:23:27+00:00,@DataDavidDeluxe Hi David! Thanks for reaching out. This year there is no Keynote on Day 3—just break out sessions… https://t.co/EYXA3N6NIR,139,1508857379957268480
84,2022-03-29 17:20:06+00:00,@StyleSTEAMed 💯,15,1508856537963499530
85,2022-03-29 17:19:05+00:00,"@JtothaVizzo Great tips, Jeff!",30,1508856283750838272
86,2022-03-29 17:18:25+00:00,@abmakulec @DenisonU @DataVizSociety We look forward to seeing you in person! #Data22,85,1508856112728055809
87,2022-03-29 17:16:09+00:00,"@aabattani @tableaupublic Congrats, Autumn!",43,1508855542260723712
88,2022-03-29 17:15:04+00:00,@ladataviz @tableaupublic This is rad! 😎,40,1508855271472304129
89,2022-03-27 18:00:01+00:00,Giveaway alert: Win big to ride the Tableau Conference inspiration-wave all year long and take your data game to ne… https://t.co/LMgy7XvU7G,140,1508141808278155265
90,2022-03-27 15:14:42+00:00,Looking to sharpen your data skills? Tune into a user group meeting and connect with Tableau users.… https://t.co/OJYTNBjGej,124,1508100204305604616
91,2022-03-25 20:55:01+00:00,"A peek at what's inside this week's #DataFam Roundup:

- A new Tableau Community Project based on data from everyda… https://t.co/yfBMlozLaB",140,1507461073498038276
92,2022-03-25 15:39:06+00:00,Tableau is recognized as a Leader in the 2022 Gartner® Magic Quadrant™ for Analytics &amp; Business Intelligence Platfo… https://t.co/9UYGko0MVk,144,1507381567974363141
93,2022-03-24 23:00:02+00:00,Nearly 80% of employees surveyed in a recent Forrester report say they’re more likely to stay at a company that suf… https://t.co/J7rNvk2ITk,140,1507130147211816962
94,2022-03-24 19:09:07+00:00,@canonicalizedco Glad you're enjoying it! ✨,43,1507072034374766605
95,2022-03-24 17:20:58+00:00,@jenkiiim Can't wait to see what you create in Tableau 🤗,56,1507044816168706050
96,2022-03-24 17:11:15+00:00,"@hiro_amemiya Thanks for registering! We'll ""see"" you there 👋",61,1507042371699200013
97,2022-03-24 15:38:24+00:00,@ukdavies @MarkTNelson Hi Andy. We apologize for the inconvenience. Can you please send an email to social@tableau.… https://t.co/4XsMLqkUqC,140,1507019004312887313
98,2022-03-23 22:50:29+00:00,@chisomezeilo01 You got this 👊,30,1506765356425261062
