,Tweet Timestamp,Tweet Text,Tweet Length,Tweet ID
0,2022-04-09 15:52:00+00:00,testing again from python,25,1512820634543398913
1,2022-03-11 16:44:49+00:00,test tweet w python,19,1502324675975819270
2,2021-09-25 14:07:04+00:00,RT @boamvrlon: orlando / ucf please help me find my sister. https://t.co/ZCIqFGE6jP,83,1441766205732184070
3,2020-08-28 21:41:31+00:00,"RT @TunaBoy_: Target                          Me  
 employee         (not target employee)
                        
                      🤝…",140,1299462139690864640
4,2020-06-17 12:02:51+00:00,@ChrisCassara @kellyclutchy @ultracycle @Marcock_10 @katielizjoyce @samlewie @ChristieGrupka @despicabLB… https://t.co/J18qqcwBoM,129,1273224585106919424
5,2020-05-19 15:24:54+00:00,RT @blvnnt__: Name three things to do in Gainesville,52,1262766184837111809
6,2020-04-23 03:11:01+00:00,RT @ChrisCassara: You telling me that a SIMP fried this rice?,61,1253159414959390725
7,2020-02-20 16:03:07+00:00,"RT @YonkoJoker: Niggas be like “my life an anime” yeah bro it’s called Yu Yu Broke as shit, get a job dumb bitch",112,1230523283281530880
8,2020-02-13 20:34:30+00:00,RT @theweeknd: Album Title https://t.co/ycs4ZSHqaM,50,1228054864887873536
9,2020-02-12 05:49:00+00:00,RT @97Vercetti: u ever stuttered so damn much u just decided to shut the fuck up,80,1227469634049277957
10,2020-02-08 16:23:17+00:00,RT @trevor_norris0: 2018 Drake was puttin out nothin but bangers https://t.co/xWzDSoSWP2,88,1226179705130254336
11,2020-01-29 00:44:39+00:00,RT @PDLComics: how cool? https://t.co/CjJV1DkM62,48,1222319609660887045
12,2020-01-27 21:02:22+00:00,RT @jrvarsitybench: an entire generation of kids rolled up a ball of paper and yelled kobe as they sank that shit into a trash can. that’s…,139,1221901284187557888
13,2020-01-24 06:06:07+00:00,"RT @ChrisCassara: *Catches a cold*

Me: It’s just a cold

Mom: It’s just a cold

Doctor: It’s just a cold

Google: https://t.co/70Si651c8i",138,1220588572618739718
14,2020-01-23 17:36:18+00:00,RT @dancingofpens: How do adults go to work and also do a million errands when they get home and also provide three meals for themselves wi…,140,1220399875864461312
15,2020-01-22 21:51:41+00:00,RT @rebeccalawxo: What year is sex education supposed to be based in ?!?!? People’s style and homes are in the 70s yet they have iPhones an…,140,1220101754685136898
16,2020-01-21 22:29:57+00:00,"RT @latestlucas: I am the writer and director of ""Color Me Blue"", my short UCF FILM which will be shooting in February. ’m really excited t…",140,1219748996559908865
17,2019-12-24 13:55:23+00:00,RT @latestlucas: idk who needs to hear this but it’s okay to not be okay,72,1209472641339396099
18,2019-11-27 15:16:04+00:00,RT @theweeknd: TONIGHT WE START A BRAIN MELTING PSYCHOTIC CHAPTER LET’S GOOOO https://t.co/khg7QSY02V,101,1199708476097933315
19,2019-11-04 22:27:48+00:00,RT @maxzafranco: math majors be like “let’s pull up to the f(x)!”,65,1191482203714273280
20,2019-10-31 14:32:26+00:00,"RT @NikLinenberger: Oedipus: Oracle, what’s going to happen to me?

Oracle: you’re going to kill your father and marry joe.

Oedipus: whose…",140,1189913022342615041
21,2019-10-27 23:33:55+00:00,RT @YahBoyJiraiya: What Kakashi really wanted to say https://t.co/SrAYLLei1B,76,1188599739488583680
22,2019-10-27 16:55:34+00:00,RT @nayelainex: I’m finna delete Canvas that shit mad toxic 🤣,61,1188499490111721473
23,2019-10-26 00:54:40+00:00,RT @freshprince_tt: First of all Trini Twitter say “I HATE HERE” and they say it like this https://t.co/g9s3MVLNbV https://t.co/KDmwFYltbm,138,1187895284074008582
24,2019-10-24 22:23:15+00:00,RT @GLOSSYDIA: fast and furious adding cardi b to the cast https://t.co/9vwBdIKf68,82,1187494792286134273
25,2019-09-29 01:05:12+00:00,RT @Sadieisonfire: https://t.co/PFUIc9QVxV,42,1178113461903089664
26,2019-09-26 12:42:16+00:00,RT @RespectfulMemes: https://t.co/MrhjRvZNaY,44,1177201720155414528
27,2019-09-23 17:26:14+00:00,RT @RespectfulMemes: https://t.co/69M7NjFSTJ,44,1176186022348185602
28,2019-09-23 16:37:58+00:00,RT @ChrisCassara: I’ll go https://t.co/CNtTgKyIuy,49,1176173873123004416
29,2019-09-06 04:31:17+00:00,RT @champagneswathi: Android users getting ready to beat my ass.. (1/3) it’s (3/3) joke (2/3) a https://t.co/JzuhX5gCyq,119,1169830403844100097
30,2019-09-05 03:00:10+00:00,RT @RespectfulMemes: https://t.co/v048M5mV6d,44,1169445087727804416
